id_orden,id_camion,id_paquete,tipo_paquete,peso,vencimiento
O1,C1,P1,GENERAL,30,
O2,C1,P2,COMESTIBLE,6,2026-07-10
O3,C1,P3,GENERAL,15,
O4,C1,P4,COMESTIBLE,9,2026-06-30
O5,C1,P5,GENERAL,40,
O6,C1,P6,COMESTIBLE,5,2026-08-15
O7,C2,P7,GENERAL,25,
O8,C2,P8,COMESTIBLE,4,2026-07-01
O9,C2,P9,GENERAL,12,
O10,C2,P10,COMESTIBLE,7,2026-09-01
O11,C2,P11,GENERAL,18,
O12,C2,P12,COMESTIBLE,3,2026-06-25
O13,C3,P12,COMESTIBLE,3,
O14,C3,P4,COMESTIBLE,9,
O15,C3,P2,COMESTIBLE,6,
O16,C3,P1,GENERAL,30,
O17,C3,P5,GENERAL,40,
O18,C3,P8,COMESTIBLE,4,
O19,C4,P3,GENERAL,15,
O20,C4,P6,COMESTIBLE,5,
O21,C4,P7,GENERAL,25,
O22,C4,P9,GENERAL,12,
O23,C4,P10,COMESTIBLE,7,
O24,C4,P11,GENERAL,18,
